0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/vendors/linericon/fonts/Linearicons-Free.woff2?w118d HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/vendors/isotope/isotope-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/vendors/isotope/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/js/jquery.ajaxchimp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/img/project/project-6.jpg HTTP/1.1" 200 71620
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/img/banner/banner.jpg HTTP/1.1" 200 306197
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/img/project/project-4.jpg HTTP/1.1" 200 142747
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/img/project/project-5.jpg HTTP/1.1" 200 40623
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/ism/image/slides/summer-192179_1280.jpg HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/ism/image/slides/beautiful-701678_1280.jpg HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/img/project/news1.jpg HTTP/1.1" 200 61868
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/img/project/project-2.jpg HTTP/1.1" 200 72853
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/img/project/project-3.jpg HTTP/1.1" 200 121883
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/vendors/counter-up/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:55 +0900] "GET /testproject/vendors/counter-up/jquery.counterup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/js/mail-script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/vendors/popup/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/vendors/swiper/js/swiper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/js/theme.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/img/instagram/Image-01.jpg HTTP/1.1" 200 7297
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/img/instagram/Image-02.jpg HTTP/1.1" 200 9515
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/img/instagram/Image-03.jpg HTTP/1.1" 200 6837
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/img/instagram/Image-04.jpg HTTP/1.1" 200 6537
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/img/instagram/Image-05.jpg HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/img/instagram/Image-06.jpg HTTP/1.1" 200 6314
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/img/instagram/Image-08.jpg HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/img/instagram/Image-07.jpg HTTP/1.1" 200 8612
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/ism/image/slides/flower-729514_1280.jpg HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/ism/image/slides/beautiful-701678_1280.jpg HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:53:56 +0900] "GET /testproject/ism/image/slides/summer-192179_1280.jpg HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:54:03 +0900] "GET /testproject/ism/image/slides/flower-729514_1280.jpg HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:54:03 +0900] "GET /testproject/ism/image/slides/beautiful-701678_1280.jpg HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [08/Aug/2019:01:54:03 +0900] "GET /testproject/ism/image/slides/summer-192179_1280.jpg HTTP/1.1" 404 1141
